age,type_group,notifications
00-04,A,186820
00-04,B,40635
00-04,Other/untyped,4347
05-09,A,182724
05-09,B,77683
05-09,Other/untyped,6558
10-14,A,111615
10-14,B,53284
10-14,Other/untyped,4211
15-19,A,93165
15-19,B,33834
15-19,Other/untyped,2740
20-24,A,79163
20-24,B,21024
20-24,Other/untyped,2087
25-29,A,83210
25-29,B,21954
25-29,Other/untyped,2110
30-34,A,94840
30-34,B,25770
30-34,Other/untyped,2867
35-39,A,98366
35-39,B,27164
35-39,Other/untyped,3346
40-44,A,85776
40-44,B,23939
40-44,Other/untyped,2670
45-49,A,73807
45-49,B,17802
45-49,Other/untyped,1774
50-54,A,70068
50-54,B,14276
50-54,Other/untyped,1361
55-59,A,66305
55-59,B,12861
55-59,Other/untyped,1125
60-64,A,62567
60-64,B,11134
60-64,Other/untyped,996
65-69,A,52261
65-69,B,9361
65-69,Other/untyped,688
70-74,A,46714
70-74,B,7490
70-74,Other/untyped,440
75-79,A,42502
75-79,B,6006
75-79,Other/untyped,290
80-84,A,36651
80-84,B,4892
80-84,Other/untyped,166
85+,A,52836
85+,B,6969
85+,Other/untyped,171
NA,A,207
NA,B,24
NA,Other/untyped,2
