year,age,sex,notifications
2008,00-04,Female,642
2008,00-04,Male,735
2008,00-04,Other/unknown,1
2008,05-09,Female,334
2008,05-09,Male,403
2008,10-14,Female,299
2008,10-14,Male,401
2008,15-19,Female,378
2008,15-19,Male,351
2008,15-19,Other/unknown,2
2008,20-24,Female,356
2008,20-24,Male,285
2008,20-24,Other/unknown,1
2008,25-29,Female,308
2008,25-29,Male,248
2008,30-34,Female,274
2008,30-34,Male,219
2008,35-39,Female,347
2008,35-39,Male,250
2008,40-44,Female,260
2008,40-44,Male,182
2008,45-49,Female,301
2008,45-49,Male,219
2008,45-49,Other/unknown,1
2008,50-54,Female,233
2008,50-54,Male,203
2008,50-54,Other/unknown,1
2008,55-59,Female,257
2008,55-59,Male,204
2008,60-64,Female,214
2008,60-64,Male,141
2008,65-69,Female,128
2008,65-69,Male,128
2008,70-74,Female,109
2008,70-74,Male,139
2008,75-79,Female,103
2008,75-79,Male,105
2008,80-84,Female,114
2008,80-84,Male,78
2008,85+,Female,124
2008,85+,Male,69
2008,NA,Female,2
2008,NA,Male,3
2009,00-04,Female,2535
2009,00-04,Male,3218
2009,00-04,Other/unknown,21
2009,05-09,Female,2964
2009,05-09,Male,3758
2009,05-09,Other/unknown,33
2009,10-14,Female,3257
2009,10-14,Male,4038
2009,10-14,Other/unknown,43
2009,15-19,Female,3511
2009,15-19,Male,3748
2009,15-19,Other/unknown,19
2009,20-24,Female,3222
2009,20-24,Male,2729
2009,20-24,Other/unknown,19
2009,25-29,Female,2969
2009,25-29,Male,2285
2009,25-29,Other/unknown,27
2009,30-34,Female,2100
2009,30-34,Male,1559
2009,30-34,Other/unknown,8
2009,35-39,Female,1988
2009,35-39,Male,1529
2009,35-39,Other/unknown,10
2009,40-44,Female,1614
2009,40-44,Male,1339
2009,40-44,Other/unknown,9
2009,45-49,Female,1659
2009,45-49,Male,1207
2009,45-49,Other/unknown,7
2009,50-54,Female,1516
2009,50-54,Male,1175
2009,50-54,Other/unknown,9
2009,55-59,Female,935
2009,55-59,Male,826
2009,55-59,Other/unknown,5
2009,60-64,Female,571
2009,60-64,Male,507
2009,60-64,Other/unknown,6
2009,65-69,Female,327
2009,65-69,Male,308
2009,65-69,Other/unknown,2
2009,70-74,Female,242
2009,70-74,Male,242
2009,70-74,Other/unknown,1
2009,75-79,Female,190
2009,75-79,Male,182
2009,75-79,Other/unknown,4
2009,80-84,Female,125
2009,80-84,Male,132
2009,85+,Female,141
2009,85+,Male,91
2009,85+,Other/unknown,4
2009,NA,Female,20
2009,NA,Male,26
2009,NA,Other/unknown,19
2010,00-04,Female,743
2010,00-04,Male,856
2010,00-04,Other/unknown,9
2010,05-09,Female,596
2010,05-09,Male,715
2010,05-09,Other/unknown,5
2010,10-14,Female,479
2010,10-14,Male,567
2010,10-14,Other/unknown,2
2010,15-19,Female,511
2010,15-19,Male,511
2010,20-24,Female,588
2010,20-24,Male,441
2010,20-24,Other/unknown,2
2010,25-29,Female,697
2010,25-29,Male,465
