year,type_group,notifications,share
2008,A,4024,0.4396853146853147
2008,B,5029,0.5494973776223776
2008,Other/untyped,99,0.010817307692307692
2009,A,58415,0.9895648049330013
2009,B,480,0.008131320831427554
2009,Other/untyped,136,0.0023038742355711407
2010,A,12094,0.8993827619543393
2010,B,1305,0.09704766862497212
2010,Other/untyped,48,0.0035695694206886296
2011,A,19790,0.7271725151570825
2011,B,7294,0.2680139628881132
2011,Other/untyped,131,0.004813521954804336
2012,A,33928,0.7622899254066685
2012,B,10538,0.23676642401366046
2012,Other/untyped,42,9.436505796710703e-4
2013,A,17748,0.6294509859554547
2013,B,10403,0.36895304298482057
2013,Other/untyped,45,0.0015959710597247836
2014,A,59528,0.8797588082288957
2014,B,8034,0.11873374320170253
2014,Other/untyped,102,0.00150744856940175
2015,A,39622,0.393770745960128
2015,B,60888,0.6051161773767169
2015,Other/untyped,112,0.0011130766631551748
2016,A,81110,0.8919656014252095
2016,B,9741,0.1071216486682649
2016,Other/untyped,83,9.12749906525612e-4
2017,A,154843,0.6164034012197258
2017,B,95776,0.38126781420678013
2017,Other/untyped,585,0.0023287845734940526
2018,A,46546,0.7960935896558802
2018,B,11771,0.20132380105356776
2018,Other/untyped,151,0.0025826092905520967
2019,A,240273,0.7666313566081924
2019,B,72580,0.231578678680595
2019,Other/untyped,561,0.0017899647112126452
2020,A,19084,0.8721722041954206
2020,B,2765,0.12636533979251405
2020,Other/untyped,32,0.0014624560120652622
2021,A,592,0.7789473684210526
2021,B,140,0.18421052631578946
2021,Other/untyped,28,0.03684210526315789
2022,A,198250,0.8495166432415755
2022,B,1295,0.005549175551060985
2022,Other/untyped,33823,0.14493418120736348
2023,A,183315,0.6346109907152897
2023,B,103699,0.3589914907464464
2023,Other/untyped,1848,0.006397518538263946
2024,A,350435,0.9603011054417109
2024,B,14364,0.039361836228015847
2024,Other/untyped,123,3.370583302733187e-4
