year,total,known,completeness
2008,9152,3899,0.4260270979020979
2009,59031,33049,0.5598583794955193
2010,13447,7109,0.5286681044099055
2011,27215,11728,0.4309388205033989
2012,44508,19771,0.4442122764446841
2013,28196,6970,0.24719818413959427
2014,67664,24916,0.3682312603452353
2015,100622,35718,0.3549720737015762
2016,90934,29071,0.319693404007302
2017,251204,59841,0.23821674814095317
2018,58468,20445,0.3496784565916399
2019,313414,144210,0.46012622282348586
2020,21881,10739,0.49079109729902654
2021,760,157,0.20657894736842106
2022,233368,125193,0.5364617256864694
2023,288862,161077,0.5576261328939078
2024,364922,191571,0.5249642389332515
