date,year,epiweek,notifications
2008-01-04,2008,1,21
2008-01-11,2008,2,20
2008-01-18,2008,3,34
2008-01-25,2008,4,23
2008-02-01,2008,5,22
2008-02-08,2008,6,27
2008-02-15,2008,7,39
2008-02-22,2008,8,36
2008-02-29,2008,9,37
2008-03-07,2008,10,50
2008-03-14,2008,11,42
2008-03-21,2008,12,31
2008-03-28,2008,13,34
2008-04-04,2008,14,45
2008-04-11,2008,15,37
2008-04-18,2008,16,46
2008-04-25,2008,17,35
2008-05-02,2008,18,54
2008-05-09,2008,19,52
2008-05-16,2008,20,41
2008-05-23,2008,21,75
2008-05-30,2008,22,62
2008-06-06,2008,23,64
2008-06-13,2008,24,57
2008-06-20,2008,25,80
2008-06-27,2008,26,63
2008-07-04,2008,27,68
2008-07-11,2008,28,108
2008-07-18,2008,29,154
2008-07-25,2008,30,177
2008-08-01,2008,31,211
2008-08-08,2008,32,310
2008-08-15,2008,33,447
2008-08-22,2008,34,710
2008-08-29,2008,35,981
2008-09-05,2008,36,1010
2008-09-12,2008,37,933
2008-09-19,2008,38,659
2008-09-26,2008,39,514
2008-10-03,2008,40,417
2008-10-10,2008,41,279
2008-10-17,2008,42,204
2008-10-24,2008,43,185
2008-10-31,2008,44,156
2008-11-07,2008,45,107
2008-11-14,2008,46,89
2008-11-21,2008,47,76
2008-11-28,2008,48,58
2008-12-05,2008,49,53
2008-12-12,2008,50,47
2008-12-19,2008,51,51
2008-12-26,2008,52,21
2009-01-02,2009,1,29
2009-01-09,2009,2,53
2009-01-16,2009,3,46
2009-01-23,2009,4,34
2009-01-30,2009,5,41
2009-02-06,2009,6,32
2009-02-13,2009,7,34
2009-02-20,2009,8,25
2009-02-27,2009,9,32
2009-03-06,2009,10,37
2009-03-13,2009,11,36
2009-03-20,2009,12,29
2009-03-27,2009,13,43
2009-04-03,2009,14,43
2009-04-10,2009,15,35
2009-04-17,2009,16,26
2009-04-24,2009,17,67
2009-05-01,2009,18,147
2009-05-08,2009,19,145
2009-05-15,2009,20,149
2009-05-22,2009,21,255
2009-05-29,2009,22,1509
2009-06-05,2009,23,2105
2009-06-12,2009,24,2258
2009-06-19,2009,25,2751
2009-06-26,2009,26,3272
2009-07-03,2009,27,4814
2009-07-10,2009,28,5795
2009-07-17,2009,29,7402
2009-07-24,2009,30,8709
2009-07-31,2009,31,5521
2009-08-07,2009,32,4560
2009-08-14,2009,33,2959
2009-08-21,2009,34,2110
2009-08-28,2009,35,1175
2009-09-04,2009,36,771
2009-09-11,2009,37,529
2009-09-18,2009,38,332
2009-09-25,2009,39,209
2009-10-02,2009,40,144
2009-10-09,2009,41,115
2009-10-16,2009,42,93
2009-10-23,2009,43,65
2009-10-30,2009,44,86
2009-11-06,2009,45,73
2009-11-13,2009,46,86
2009-11-20,2009,47,48
2009-11-27,2009,48,35
2009-12-04,2009,49,50
2009-12-11,2009,50,38
2009-12-18,2009,51,51
2009-12-25,2009,52,28
2010-01-01,2010,53,30
2010-01-08,2010,1,35
2010-01-15,2010,2,28
2010-01-22,2010,3,31
2010-01-29,2010,4,40
2010-02-05,2010,5,33
2010-02-12,2010,6,30
2010-02-19,2010,7,43
2010-02-26,2010,8,36
2010-03-05,2010,9,51
2010-03-12,2010,10,31
2010-03-19,2010,11,36
2010-03-26,2010,12,43
2010-04-02,2010,13,35
2010-04-09,2010,14,50
2010-04-16,2010,15,79
