date,year,state,notifications
2008-01-04,2008,Vic,2
2008-01-04,2008,Qld,9
2008-01-04,2008,WA,8
2008-01-04,2008,NT,2
2008-01-11,2008,NSW,4
2008-01-11,2008,Vic,1
2008-01-11,2008,Qld,11
2008-01-11,2008,WA,4
2008-01-18,2008,NSW,3
2008-01-18,2008,Vic,3
2008-01-18,2008,Qld,17
2008-01-18,2008,WA,7
2008-01-18,2008,Tas,1
2008-01-18,2008,ACT,1
2008-01-18,2008,NT,2
2008-01-25,2008,NSW,5
2008-01-25,2008,Vic,4
2008-01-25,2008,Qld,8
2008-01-25,2008,WA,4
2008-01-25,2008,Tas,1
2008-01-25,2008,NT,1
2008-02-01,2008,NSW,3
2008-02-01,2008,Vic,3
2008-02-01,2008,Qld,10
2008-02-01,2008,WA,3
2008-02-01,2008,ACT,2
2008-02-01,2008,NT,1
2008-02-08,2008,NSW,7
2008-02-08,2008,Vic,2
2008-02-08,2008,Qld,13
2008-02-08,2008,WA,3
2008-02-08,2008,Tas,1
2008-02-08,2008,NT,1
2008-02-15,2008,NSW,5
2008-02-15,2008,Qld,26
2008-02-15,2008,WA,2
2008-02-15,2008,ACT,2
2008-02-15,2008,NT,4
2008-02-22,2008,NSW,5
2008-02-22,2008,Vic,1
2008-02-22,2008,Qld,21
2008-02-22,2008,WA,3
2008-02-22,2008,ACT,3
2008-02-22,2008,NT,3
2008-02-29,2008,NSW,7
2008-02-29,2008,Vic,1
2008-02-29,2008,Qld,19
2008-02-29,2008,WA,2
2008-02-29,2008,ACT,3
2008-02-29,2008,NT,5
2008-03-07,2008,NSW,9
2008-03-07,2008,Vic,4
2008-03-07,2008,Qld,19
2008-03-07,2008,WA,6
2008-03-07,2008,Tas,2
2008-03-07,2008,ACT,3
2008-03-07,2008,NT,7
2008-03-14,2008,NSW,12
2008-03-14,2008,Vic,4
2008-03-14,2008,Qld,21
2008-03-14,2008,WA,4
2008-03-14,2008,NT,1
2008-03-21,2008,NSW,6
2008-03-21,2008,Vic,1
2008-03-21,2008,Qld,15
2008-03-21,2008,WA,5
2008-03-21,2008,ACT,3
2008-03-21,2008,NT,1
2008-03-28,2008,NSW,16
2008-03-28,2008,Vic,1
2008-03-28,2008,Qld,10
2008-03-28,2008,WA,5
2008-03-28,2008,Tas,1
2008-03-28,2008,NT,1
2008-04-04,2008,NSW,12
2008-04-04,2008,Vic,7
2008-04-04,2008,Qld,19
2008-04-04,2008,WA,5
2008-04-04,2008,NT,2
2008-04-11,2008,NSW,5
2008-04-11,2008,Vic,6
2008-04-11,2008,Qld,14
2008-04-11,2008,WA,6
2008-04-11,2008,Tas,1
2008-04-11,2008,ACT,4
2008-04-11,2008,NT,1
2008-04-18,2008,NSW,9
2008-04-18,2008,Vic,6
2008-04-18,2008,Qld,22
2008-04-18,2008,SA,1
2008-04-18,2008,WA,4
2008-04-18,2008,Tas,1
2008-04-18,2008,ACT,2
2008-04-18,2008,NT,1
2008-04-25,2008,NSW,5
2008-04-25,2008,Vic,6
2008-04-25,2008,Qld,20
2008-04-25,2008,WA,3
2008-04-25,2008,NT,1
2008-05-02,2008,NSW,21
2008-05-02,2008,Vic,3
2008-05-02,2008,Qld,22
2008-05-02,2008,SA,1
2008-05-02,2008,WA,2
2008-05-02,2008,Tas,1
2008-05-02,2008,ACT,4
2008-05-09,2008,NSW,19
2008-05-09,2008,Vic,1
2008-05-09,2008,Qld,20
2008-05-09,2008,SA,1
2008-05-09,2008,WA,11
2008-05-16,2008,NSW,8
2008-05-16,2008,Vic,5
2008-05-16,2008,Qld,15
2008-05-16,2008,WA,5
2008-05-16,2008,Tas,2
2008-05-16,2008,ACT,5
2008-05-16,2008,NT,1
2008-05-23,2008,NSW,27
2008-05-23,2008,Vic,4
2008-05-23,2008,Qld,29
2008-05-23,2008,SA,2
2008-05-23,2008,WA,10
2008-05-23,2008,Tas,2
2008-05-23,2008,ACT,1
2008-05-30,2008,NSW,16
2008-05-30,2008,Vic,10
2008-05-30,2008,Qld,23
2008-05-30,2008,SA,2
2008-05-30,2008,WA,6
2008-05-30,2008,Tas,1
2008-05-30,2008,ACT,3
2008-05-30,2008,NT,1
2008-06-06,2008,NSW,14
2008-06-06,2008,Vic,5
2008-06-06,2008,Qld,32
2008-06-06,2008,SA,3
2008-06-06,2008,WA,7
2008-06-06,2008,Tas,1
2008-06-06,2008,ACT,2
2008-06-13,2008,NSW,15
2008-06-13,2008,Vic,7
2008-06-13,2008,Qld,19
2008-06-13,2008,SA,3
2008-06-13,2008,WA,10
2008-06-13,2008,Tas,1
2008-06-13,2008,ACT,2
2008-06-20,2008,NSW,19
2008-06-20,2008,Vic,9
2008-06-20,2008,Qld,32
2008-06-20,2008,SA,2
2008-06-20,2008,WA,8
2008-06-20,2008,Tas,6
2008-06-20,2008,ACT,4
2008-06-27,2008,NSW,22
2008-06-27,2008,Vic,7
2008-06-27,2008,Qld,25
2008-06-27,2008,WA,5
2008-06-27,2008,Tas,2
2008-06-27,2008,ACT,1
2008-06-27,2008,NT,1
2008-07-04,2008,NSW,17
2008-07-04,2008,Vic,12
2008-07-04,2008,Qld,27
2008-07-04,2008,WA,6
2008-07-04,2008,Tas,2
2008-07-04,2008,ACT,3
2008-07-04,2008,NT,1
2008-07-11,2008,NSW,37
2008-07-11,2008,Vic,13
2008-07-11,2008,Qld,39
2008-07-11,2008,SA,1
2008-07-11,2008,WA,13
2008-07-11,2008,Tas,2
2008-07-11,2008,ACT,3
2008-07-18,2008,NSW,63
2008-07-18,2008,Vic,31
2008-07-18,2008,Qld,39
2008-07-18,2008,SA,5
2008-07-18,2008,WA,11
2008-07-18,2008,Tas,1
2008-07-18,2008,ACT,3
2008-07-18,2008,NT,1
2008-07-25,2008,NSW,80
2008-07-25,2008,Vic,21
2008-07-25,2008,Qld,56
2008-07-25,2008,SA,3
2008-07-25,2008,WA,13
2008-07-25,2008,ACT,2
2008-07-25,2008,NT,2
2008-08-01,2008,NSW,49
2008-08-01,2008,Vic,29
2008-08-01,2008,Qld,100
2008-08-01,2008,SA,5
2008-08-01,2008,WA,14
2008-08-01,2008,Tas,1
2008-08-01,2008,ACT,12
2008-08-01,2008,NT,1
2008-08-08,2008,NSW,65
2008-08-08,2008,Vic,68
2008-08-08,2008,Qld,140
2008-08-08,2008,SA,9
2008-08-08,2008,WA,16
2008-08-08,2008,Tas,4
2008-08-08,2008,ACT,7
2008-08-08,2008,NT,1
2008-08-15,2008,NSW,88
2008-08-15,2008,Vic,78
2008-08-15,2008,Qld,210
2008-08-15,2008,SA,8
2008-08-15,2008,WA,33
2008-08-15,2008,Tas,7
2008-08-15,2008,ACT,11
2008-08-15,2008,NT,12
2008-08-22,2008,NSW,127
2008-08-22,2008,Vic,106
2008-08-22,2008,Qld,371
2008-08-22,2008,SA,9
2008-08-22,2008,WA,58
2008-08-22,2008,Tas,11
2008-08-22,2008,ACT,20
2008-08-22,2008,NT,8
2008-08-29,2008,NSW,136
2008-08-29,2008,Vic,149
2008-08-29,2008,Qld,528
2008-08-29,2008,SA,17
2008-08-29,2008,WA,88
2008-08-29,2008,Tas,26
2008-08-29,2008,ACT,23
2008-08-29,2008,NT,14
2008-09-05,2008,NSW,148
2008-09-05,2008,Vic,134
2008-09-05,2008,Qld,476
2008-09-05,2008,SA,20
2008-09-05,2008,WA,123
2008-09-05,2008,Tas,77
2008-09-05,2008,ACT,19
2008-09-05,2008,NT,13
2008-09-12,2008,NSW,136
2008-09-12,2008,Vic,144
2008-09-12,2008,Qld,356
2008-09-12,2008,SA,52
2008-09-12,2008,WA,140
2008-09-12,2008,Tas,68
2008-09-12,2008,ACT,24
2008-09-12,2008,NT,13
2008-09-19,2008,NSW,101
2008-09-19,2008,Vic,89
2008-09-19,2008,Qld,257
2008-09-19,2008,SA,32
2008-09-19,2008,WA,102
2008-09-19,2008,Tas,48
2008-09-19,2008,ACT,20
2008-09-19,2008,NT,10
2008-09-26,2008,NSW,66
2008-09-26,2008,Vic,85
2008-09-26,2008,Qld,170
2008-09-26,2008,SA,57
2008-09-26,2008,WA,70
2008-09-26,2008,Tas,33
2008-09-26,2008,ACT,15
2008-09-26,2008,NT,18
2008-10-03,2008,NSW,59
2008-10-03,2008,Vic,79
2008-10-03,2008,Qld,126
2008-10-03,2008,SA,56
2008-10-03,2008,WA,49
2008-10-03,2008,Tas,23
2008-10-03,2008,ACT,8
2008-10-03,2008,NT,17
2008-10-10,2008,NSW,50
2008-10-10,2008,Vic,54
2008-10-10,2008,Qld,80
2008-10-10,2008,SA,29
2008-10-10,2008,WA,45
2008-10-10,2008,Tas,8
2008-10-10,2008,ACT,5
2008-10-10,2008,NT,8
2008-10-17,2008,NSW,52
2008-10-17,2008,Vic,22
2008-10-17,2008,Qld,66
2008-10-17,2008,SA,22
2008-10-17,2008,WA,17
2008-10-17,2008,Tas,16
2008-10-17,2008,ACT,8
2008-10-17,2008,NT,1
2008-10-24,2008,NSW,47
2008-10-24,2008,Vic,17
2008-10-24,2008,Qld,66
2008-10-24,2008,SA,18
2008-10-24,2008,WA,16
2008-10-24,2008,Tas,7
2008-10-24,2008,ACT,6
2008-10-24,2008,NT,8
2008-10-31,2008,NSW,45
2008-10-31,2008,Vic,16
2008-10-31,2008,Qld,30
2008-10-31,2008,SA,38
2008-10-31,2008,WA,14
2008-10-31,2008,Tas,7
2008-10-31,2008,NT,6
2008-11-07,2008,NSW,42
2008-11-07,2008,Vic,7
2008-11-07,2008,Qld,8
2008-11-07,2008,SA,28
2008-11-07,2008,WA,11
2008-11-07,2008,Tas,5
2008-11-07,2008,ACT,2
2008-11-07,2008,NT,4
2008-11-14,2008,NSW,34
2008-11-14,2008,Vic,7
2008-11-14,2008,Qld,7
2008-11-14,2008,SA,15
2008-11-14,2008,WA,7
2008-11-14,2008,Tas,9
2008-11-14,2008,NT,10
2008-11-21,2008,NSW,22
2008-11-21,2008,Vic,15
2008-11-21,2008,Qld,8
2008-11-21,2008,SA,7
2008-11-21,2008,WA,6
2008-11-21,2008,Tas,5
2008-11-21,2008,ACT,4
2008-11-21,2008,NT,9
2008-11-28,2008,NSW,28
2008-11-28,2008,Vic,3
2008-11-28,2008,Qld,6
2008-11-28,2008,SA,15
2008-11-28,2008,WA,5
2008-11-28,2008,ACT,1
2008-12-05,2008,NSW,24
2008-12-05,2008,Vic,3
2008-12-05,2008,Qld,9
2008-12-05,2008,SA,5
2008-12-05,2008,WA,10
2008-12-05,2008,Tas,1
2008-12-05,2008,NT,1
2008-12-12,2008,NSW,21
2008-12-12,2008,Vic,7
2008-12-12,2008,Qld,7
2008-12-12,2008,SA,2
2008-12-12,2008,WA,6
2008-12-12,2008,ACT,3
2008-12-12,2008,NT,1
2008-12-19,2008,NSW,21
2008-12-19,2008,Vic,6
2008-12-19,2008,Qld,11
2008-12-19,2008,SA,5
2008-12-19,2008,WA,4
2008-12-19,2008,NT,4
2008-12-26,2008,NSW,8
2008-12-26,2008,Vic,2
2008-12-26,2008,Qld,7
2008-12-26,2008,WA,4
2009-01-02,2009,NSW,16
2009-01-02,2009,Qld,8
2009-01-02,2009,SA,2
2009-01-02,2009,WA,1
2009-01-02,2009,ACT,1
2009-01-02,2009,NT,1
2009-01-09,2009,NSW,29
2009-01-09,2009,Vic,4
2009-01-09,2009,Qld,6
2009-01-09,2009,SA,1
2009-01-09,2009,WA,8
2009-01-09,2009,NT,5
2009-01-16,2009,NSW,25
2009-01-16,2009,Vic,4
2009-01-16,2009,Qld,6
2009-01-16,2009,WA,8
2009-01-16,2009,ACT,1
2009-01-16,2009,NT,2
2009-01-23,2009,NSW,20
2009-01-23,2009,Qld,6
2009-01-23,2009,WA,6
2009-01-23,2009,NT,2
2009-01-30,2009,NSW,21
2009-01-30,2009,Vic,2
2009-01-30,2009,Qld,14
2009-01-30,2009,WA,3
2009-01-30,2009,ACT,1
2009-02-06,2009,NSW,13
2009-02-06,2009,Vic,3
2009-02-06,2009,Qld,11
2009-02-06,2009,WA,2
2009-02-06,2009,ACT,2
2009-02-06,2009,NT,1
2009-02-13,2009,NSW,13
2009-02-13,2009,Vic,3
2009-02-13,2009,Qld,9
2009-02-13,2009,WA,6
2009-02-13,2009,ACT,2
2009-02-13,2009,NT,1
2009-02-20,2009,NSW,13
2009-02-20,2009,Vic,3
2009-02-20,2009,Qld,4
2009-02-20,2009,SA,1
2009-02-20,2009,WA,2
2009-02-20,2009,ACT,2
2009-02-27,2009,NSW,11
2009-02-27,2009,Vic,1
2009-02-27,2009,Qld,12
2009-02-27,2009,SA,2
2009-02-27,2009,WA,4
2009-02-27,2009,ACT,2
2009-03-06,2009,NSW,17
2009-03-06,2009,Vic,2
2009-03-06,2009,Qld,4
2009-03-06,2009,SA,3
2009-03-06,2009,WA,9
2009-03-06,2009,Tas,1
2009-03-06,2009,ACT,1
2009-03-13,2009,NSW,22
2009-03-13,2009,Vic,1
2009-03-13,2009,Qld,7
2009-03-13,2009,SA,1
2009-03-13,2009,WA,1
2009-03-13,2009,NT,4
2009-03-20,2009,NSW,16
2009-03-20,2009,Vic,2
2009-03-20,2009,Qld,5
2009-03-20,2009,SA,1
2009-03-20,2009,WA,5
2009-03-27,2009,NSW,18
2009-03-27,2009,Vic,6
2009-03-27,2009,Qld,8
2009-03-27,2009,SA,6
2009-03-27,2009,WA,4
2009-03-27,2009,Tas,1
2009-04-03,2009,NSW,29
2009-04-03,2009,Vic,5
2009-04-03,2009,Qld,6
2009-04-03,2009,SA,1
2009-04-03,2009,WA,2
2009-04-10,2009,NSW,16
2009-04-10,2009,Vic,4
2009-04-10,2009,Qld,4
2009-04-10,2009,SA,3
2009-04-10,2009,WA,6
2009-04-10,2009,Tas,1
2009-04-10,2009,NT,1
2009-04-17,2009,NSW,13
2009-04-17,2009,Qld,6
2009-04-17,2009,SA,4
2009-04-17,2009,WA,2
2009-04-17,2009,Tas,1
2009-04-24,2009,NSW,37
2009-04-24,2009,Vic,3
2009-04-24,2009,Qld,9
2009-04-24,2009,SA,8
2009-04-24,2009,WA,8
2009-04-24,2009,Tas,1
2009-04-24,2009,ACT,1
2009-05-01,2009,NSW,51
2009-05-01,2009,Vic,15
2009-05-01,2009,Qld,39
2009-05-01,2009,SA,15
2009-05-01,2009,WA,18
2009-05-01,2009,Tas,3
2009-05-01,2009,ACT,3
2009-05-01,2009,NT,3
2009-05-08,2009,NSW,43
2009-05-08,2009,Vic,14
2009-05-08,2009,Qld,36
2009-05-08,2009,SA,28
2009-05-08,2009,WA,15
2009-05-08,2009,Tas,2
2009-05-08,2009,ACT,3
2009-05-08,2009,NT,4
2009-05-15,2009,NSW,49
2009-05-15,2009,Vic,26
2009-05-15,2009,Qld,34
2009-05-15,2009,SA,25
2009-05-15,2009,WA,8
2009-05-15,2009,Tas,2
2009-05-15,2009,ACT,3
2009-05-15,2009,NT,2
2009-05-22,2009,NSW,63
2009-05-22,2009,Vic,90
2009-05-22,2009,Qld,32
2009-05-22,2009,SA,49
2009-05-22,2009,WA,11
2009-05-22,2009,Tas,3
2009-05-22,2009,ACT,4
2009-05-22,2009,NT,3
2009-05-29,2009,NSW,218
2009-05-29,2009,Vic,948
2009-05-29,2009,Qld,150
2009-05-29,2009,SA,117
2009-05-29,2009,WA,31
2009-05-29,2009,Tas,5
2009-05-29,2009,ACT,15
2009-05-29,2009,NT,25
2009-06-05,2009,NSW,214
2009-06-05,2009,Vic,1323
2009-06-05,2009,Qld,276
2009-06-05,2009,SA,137
2009-06-05,2009,WA,54
2009-06-05,2009,Tas,23
2009-06-05,2009,ACT,17
