age,sex,notifications
00-04,Female,108819
00-04,Male,122414
05-09,Female,124160
05-09,Male,142145
10-14,Female,75823
10-14,Male,92895
15-19,Female,65266
15-19,Male,64189
20-24,Female,58116
20-24,Male,43902
25-29,Female,64358
25-29,Male,42617
30-34,Female,75000
30-34,Male,48179
35-39,Female,76656
35-39,Male,51905
40-44,Female,63777
40-44,Male,48377
45-49,Female,51901
45-49,Male,41332
50-54,Female,47887
50-54,Male,37659
55-59,Female,45398
55-59,Male,34762
60-64,Female,42407
60-64,Male,32191
65-69,Female,34723
65-69,Male,27506
70-74,Female,29440
70-74,Male,25130
75-79,Female,25837
75-79,Male,22895
80-84,Female,22651
80-84,Male,18995
85+,Female,37275
85+,Male,22569
NA,Female,88
NA,Male,101
