year,state,notifications
2008,NSW,1840
2008,Vic,1300
2008,Qld,3691
2008,SA,473
2008,WA,1019
2008,Tas,385
2008,ACT,244
2008,NT,200
2009,NSW,12850
2009,Vic,7036
2009,Qld,18307
2009,SA,10764
2009,WA,5521
2009,Tas,1311
2009,ACT,1264
2009,NT,1978
2010,NSW,1568
2010,Vic,2087
2010,Qld,3221
2010,SA,4261
2010,WA,1628
2010,Tas,107
2010,ACT,95
2010,NT,480
2011,NSW,5790
2011,Vic,3211
2011,Qld,10381
2011,SA,4741
2011,WA,1862
2011,Tas,363
2011,ACT,270
2011,NT,597
2012,NSW,7985
2012,Vic,5984
2012,Qld,16829
2012,SA,6273
2012,WA,5233
2012,Tas,1095
2012,ACT,666
2012,NT,443
2013,NSW,8379
2013,Vic,5825
2013,Qld,5477
2013,SA,4817
2013,WA,2392
2013,Tas,294
2013,ACT,553
2013,NT,459
2014,NSW,20869
2014,Vic,9882
2014,Qld,17852
2014,SA,11052
2014,WA,5243
2014,Tas,678
2014,ACT,1259
2014,NT,829
2015,NSW,30265
2015,Vic,17294
2015,Qld,28091
2015,SA,15660
2015,WA,5996
2015,Tas,1435
2015,ACT,1209
2015,NT,672
2016,NSW,35587
2016,Vic,12938
2016,Qld,23323
2016,SA,7877
2016,WA,7845
2016,Tas,1056
2016,ACT,1603
2016,NT,705
2017,NSW,103830
2017,Vic,48211
2017,Qld,56592
2017,SA,28485
2017,WA,6011
2017,Tas,3508
2017,ACT,3092
2017,NT,1475
2018,NSW,17433
2018,Vic,11686
2018,Qld,15539
2018,SA,5880
2018,WA,5841
2018,Tas,451
2018,ACT,473
2018,NT,1165
2019,NSW,116414
2019,Vic,69492
2019,Qld,68261
2019,SA,27084
2019,WA,23233
2019,Tas,3132
2019,ACT,4043
2019,NT,1755
2020,NSW,7386
2020,Vic,4848
2020,Qld,6155
2020,SA,1568
2020,WA,1248
2020,Tas,175
2020,ACT,205
2020,NT,296
2021,NSW,138
2021,Vic,112
2021,Qld,300
2021,SA,39
2021,WA,42
2021,Tas,40
2021,ACT,8
2021,NT,81
2022,NSW,116340
2022,Vic,36586
2022,Qld,44411
2022,SA,12085
2022,WA,14059
2022,Tas,2981
2022,ACT,2112
2022,NT,4794
2023,NSW,104541
2023,Vic,56058
2023,Qld,74307
2023,SA,22345
2023,WA,21175
2023,Tas,3557
2023,ACT,4104
2023,NT,2775
2024,NSW,161325
2024,Vic,71991
2024,Qld,79646
2024,SA,22736
2024,WA,17043
2024,Tas,4052
2024,ACT,4830
2024,NT,3299
